Id	Src	Title
1435254666	28	Certain infectious or parasitic diseases
588616678	28	Gastroenteritis or colitis of infectious origin
135352227	28	Bacterial intestinal infections
257068234	28	Cholera
416025325	28	Intestinal infection due to other Vibrio
2080365623	28	Intestinal infections due to Shigella
344162786	28	Intestinal infections due to Escherichia coli
2099226249	28	Enteropathogenic Escherichia coli infection
408185629	28	Enterotoxigenic Escherichia coli infection
1828273122	28	Enteroinvasive Escherichia coli infection
162723448	28	Enterohaemorrhagic Escherichia coli infection
344162786	28	Intestinal infections due to other specified Escherichia coli
344162786	28	Intestinal infections due to Escherichia coli, unspecified
250688797	28	Enterocolitis due to Clostridium difficile
1000894786	28	Intestinal infections due to Yersinia enterocolitica
794462570	28	Gastroenteritis due to Campylobacter
1528414070	28	Typhoid fever
364534567	28	Typhoid peritonitis
1528414070	28	Other specified typhoid fever
1528414070	28	Typhoid fever, unspecified
1780040028	28	Paratyphoid Fever
515117475	28	Infections due to other Salmonella
135352227	28	Other specified bacterial intestinal infections
135352227	28	Bacterial intestinal infections, unspecified
1834648119	28	Bacterial foodborne intoxications
1642556936	28	Foodborne staphylococcal intoxication
78422942	28	Botulism
2033726602	28	Foodborne intoxication by botulinum toxin
1393712712	28	Other forms of botulism
78422942	28	Botulism, unspecified
1879176035	28	Foodborne Clostridium perfringens intoxication
1722068323	28	Foodborne Bacillus cereus intoxication
1834648119	28	Other specified bacterial foodborne intoxications
1834648119	28	Bacterial foodborne intoxications, unspecified
30738976	28	Viral intestinal infections
749414717	28	Enteritis due to Adenovirus
1185210745	28	Gastroenteritis due to Astrovirus
840750347	28	Gastroenteritis due to Rotavirus
1465325727	28	Enteritis due to Norovirus
1519125035	28	Intestinal infections due to Cytomegalovirus
30738976	28	Other specified viral intestinal infections
30738976	28	Viral intestinal infections, unspecified
2092703582	28	Protozoal intestinal infections
2090337975	28	Infections due to Balantidium coli
433310499	28	Giardiasis
1837013982	28	Cryptosporidiosis
137713224	28	Cystoisosporiasis
1058992628	28	Cystoisosporiasis of small intestine
883510242	28	Cystoisosporiasis of colon
137713224	28	Other specified cystoisosporiasis
137713224	28	Cystoisosporiasis, unspecified
261748740	28	Sarcocystosis
1184241320	28	Blastocystosis
435671752	28	Amoebiasis
1727029934	28	Intestinal infections due to Entamoeba
1616956984	28	Acute amoebiasis
349019849	28	Amoeboma of intestine
1727029934	28	Intestinal infections due to Entamoeba, unspecified
1777228366	28	Extraintestinal infections due to Entamoeba
1730350429	28	Amoebic liver abscess
40419529	28	Amoebic lung abscess
328097188	28	Cutaneous amoebiasis
1777228366	28	Amoebiasis of other specified sites
435671752	28	Amoebiasis, unspecified
2092703582	28	Other specified protozoal intestinal infections
2092703582	28	Protozoal intestinal infections, unspecified
1688127370	28	Gastroenteritis or colitis without specification of infectious agent
1160271562	28	Gastroenteritis or colitis without specification of origin
1688127370	28	Infectious gastroenteritis or colitis without specification of infectious agent
1904876434	28	Predominantly sexually transmitted infections
455894495	28	Syphilis
587996426	28	Congenital syphilis
395565060	28	Early congenital syphilis, symptomatic
1926763926	28	Early congenital syphilis, latent
1665042685	28	Late congenital syphilitic oculopathy
282073961	28	Late congenital neurosyphilis
2132718683	28	Late congenital syphilis, symptomatic
20350466	28	Late congenital syphilis, latent
587996426	28	Congenital syphilis, unspecified
1179111584	28	Early syphilis
191565955	28	Primary genital syphilis
1847647511	28	Primary anal syphilis
445484522	28	Primary syphilis of other sites
2143699068	28	Secondary syphilis of skin or mucous membranes
204002280	28	Secondary syphilis of other sites
1768103550	28	Latent early syphilis
1179111584	28	Other specified early syphilis
1179111584	28	Early syphilis, unspecified
854229089	28	Late syphilis
2118246468	28	Neurosyphilis
453651926	28	Asymptomatic neurosyphilis
1873247529	28	Symptomatic late neurosyphilis
2118246468	28	Neurosyphilis, unspecified
183283901	28	Cardiovascular late syphilis
1883423833	28	Symptomatic late syphilis of other sites
551528014	28	Ocular late syphilis
2063826056	28	Late syphilis involving the musculoskeletal system
1934471301	28	Late syphilis of skin or mucous membranes
1883423833	28	Symptomatic late syphilis of other specified sites
1883423833	28	Symptomatic late syphilis of other sites, unspecified
854229089	28	Other specified late syphilis
854229089	28	Late syphilis, unspecified
370440252	28	Latent syphilis, unspecified as early or late
455894495	28	Syphilis, unspecified
